"ID","Height_Ext","Length_Ext","Width_Ext","Thick","Volume_Intermal","Price_RRC"
"2.2_4.06_5.26_80","2.2","4.06","5.26","80","40.58","494659"
"2.2_4.06_5.4_80","2.2","4.06","5.4","80","41.69","504198"
"2.2_4.06_5.56_80","2.2","4.06","5.56","80","42.96","515099"
"2.2_4.06_5.7_80","2.2","4.06","5.7","80","44.08","524638"
"2.2_4.06_5.86_80","2.2","4.06","5.86","80","45.35","535540"
"2.2_4.06_6_80","2.2","4.06","6","80","46.46","545079"
"2.2_4.06_6.16_80","2.2","4.06","6.16","80","47.74","555980"
"2.2_4.06_6.3_80","2.2","4.06","6.3","80","48.85","565519"
"2.2_4.06_6.46_80","2.2","4.06","6.46","80","50.12","576421"
"2.2_4.06_6.6_80","2.2","4.06","6.6","80","51.24","585960"
"2.2_4.06_6.76_80","2.2","4.06","6.76","80","52.51","596862"
"2.2_4.06_6.9_80","2.2","4.06","6.9","80","53.62","606401"
"2.2_4.06_7.06_80","2.2","4.06","7.06","80","54.9","617302"
"2.2_4.06_7.2_80","2.2","4.06","7.2","80","56.01","626841"
"2.2_4.06_7.36_80","2.2","4.06","7.36","80","57.28","637743"
"2.2_4.06_7.5_80","2.2","4.06","7.5","80","58.4","647282"
"2.2_4.06_7.66_80","2.2","4.06","7.66","80","59.67","658184"
